model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
StackedLSTM_4_15secs,0.026825,0.083841,0.074088,0.104721,0.048382,0.299185,0.125750,0.857382,0.064625,0.052493
StackedGRU_4_15secs,0.049187,0.075027,0.072593,0.109650,0.048931,0.297611,0.127805,0.855591,0.042881,0.058089
StackedLSTM_5_15secs,0.032329,0.083015,0.142906,0.086914,0.048338,0.303733,0.125315,0.867188,0.054081,0.423622
StackedGRU_5_15secs,0.058662,0.075620,0.170971,0.104157,0.048782,0.304793,0.127254,0.868509,0.041649,0.423537
ConvLSTM10_1_15secs,0.022806,0.053326,0.072007,0.094497,0.048678,0.233840,0.095762,0.462349,0.007453,0.049115
ConvGRU_1_15secs,0.025624,0.054541,0.071561,0.077013,0.048354,0.195527,0.088628,0.302612,0.015892,0.049371
ConvLSTM10_2_15secs,0.025101,0.059001,0.072993,0.113823,0.048154,0.252395,0.106725,0.703288,0.017015,0.050553
ConvGRU_2_15secs,0.031345,0.063757,0.074883,0.123297,0.047847,0.259344,0.109168,0.659384,0.014639,0.049987
ConvLSTM10_3_15secs,0.024426,0.058696,0.074077,0.099449,0.047647,0.241955,0.113430,0.678481,0.007108,0.049795
ConvGRU_3_15secs,0.031206,0.063546,0.074414,0.104143,0.047918,0.262775,0.121072,0.696729,0.008991,0.051425
ConvLSTM10_4_15secs,0.028102,0.067045,0.074127,0.137206,0.048004,0.282890,0.123896,0.864673,0.020947,0.058648
ConvGRU_4_15secs,0.033309,0.064859,0.074244,0.137702,0.047784,0.259636,0.107183,0.867714,0.011151,0.049952
ConvLSTM10_5_15secs,0.029514,0.069743,0.072938,0.120151,0.047810,0.333805,0.125558,0.868045,0.015980,0.050892
ConvGRU_5_15secs,0.022106,0.077678,0.072735,0.154723,0.048438,0.322353,0.114411,0.868143,0.020401,0.058202
BiLSTM_8_10_15secs,0.046698,0.061797,0.073576,0.069423,0.049116,0.287612,0.115924,0.786676,0.123036,0.050667
AttentionBiLSTM_8_10_15secs,0.027108,0.053771,0.070989,0.069840,0.049209,0.311784,0.103556,0.631100,0.238468,0.047347
BiGRU_8_10_15secs,0.040015,0.057320,0.073276,0.105356,0.049163,0.281562,0.115973,0.667648,0.084634,0.050599
BiLSTM_8_20_15secs,0.035393,0.071959,0.073983,0.068895,0.049009,0.297366,0.109689,0.865543,0.119983,0.049401
AttentionBiLSTM_8_20_15secs,0.025693,0.059035,0.071119,0.082415,0.049401,0.307986,0.103660,0.663606,0.261812,0.047395
BiGRU_8_20_15secs,0.035632,0.055487,0.074342,0.143543,0.049714,0.267280,0.110357,0.789987,0.121516,0.051871
BiLSTM_8_30_15secs,0.040143,0.062984,0.073763,0.116750,0.048962,0.303117,0.104458,0.884448,0.132138,0.051824
AttentionBiLSTM_8_30_15secs,0.021959,0.062767,0.070993,0.098373,0.049546,0.296914,0.104496,0.692543,0.271849,0.048781
BiGRU_8_30_15secs,0.056689,0.052980,0.073507,0.153239,0.049141,0.277698,0.103082,0.860435,0.146064,0.051372
BiLSTM_8_40_15secs,0.081936,0.070397,0.087185,0.135868,0.049102,0.293307,0.103914,0.885282,0.134541,0.058151
AttentionBiLSTM_8_40_15secs,0.022064,0.062992,0.070768,0.132403,0.049846,0.293446,0.106110,0.727476,0.286897,0.049622
BiGRU_8_40_15secs,0.094885,0.064111,0.074021,0.146304,0.049072,0.281938,0.103797,0.879271,0.153758,0.056717
BiLSTM_8_50_15secs,0.119029,0.064529,0.092981,0.127460,0.049131,0.305575,0.104606,0.883023,0.151641,0.094809
AttentionBiLSTM_8_50_15secs,0.020277,0.052689,0.070831,0.228127,0.050093,0.287842,0.109987,0.760299,0.295858,0.051593
BiGRU_8_50_15secs,0.104402,0.057792,0.073242,0.151484,0.049812,0.293664,0.103334,0.883470,0.211953,0.056350
BiLSTM_16_10_15secs,0.034541,0.061292,0.072425,0.076835,0.049304,0.253554,0.109673,0.236431,0.106739,0.051931
AttentionBiLSTM_16_10_15secs,0.026050,0.052657,0.071608,0.064347,0.049143,0.331315,0.102498,0.578473,0.186856,0.048138
BiGRU_16_10_15secs,0.031055,0.065826,0.071868,0.082714,0.049250,0.252329,0.106946,0.558098,0.054159,0.053851
BiLSTM_16_20_15secs,0.054991,0.092174,0.073817,0.076811,0.049065,0.273874,0.118558,0.767245,0.146318,0.050331
AttentionBiLSTM_16_20_15secs,0.025028,0.053895,0.071805,0.067603,0.049236,0.335032,0.115635,0.604236,0.232275,0.049220
