model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
DenseGRU_20_15secs,0.102042,0.045140,0.073572,0.047057,0.040874,0.030793,0.074213,0.060906,0.164244,0.031222
DenseLSTM_30_15secs,0.139420,0.048914,0.073901,0.048227,0.040794,0.029700,0.087377,0.068192,0.161953,0.031256
DenseGRU_30_15secs,0.139974,0.042310,0.067863,0.048921,0.042316,0.038749,0.083537,0.100164,0.184776,0.031615
DenseLSTM_40_15secs,0.115650,0.040328,0.068583,0.049388,0.041852,0.035480,0.071166,0.092720,0.183597,0.031225
DenseGRU_40_15secs,0.096308,0.037362,0.067471,0.046421,0.042861,0.036213,0.090792,0.104242,0.162294,0.032420
DenseLSTM_50_15secs,0.123483,0.037627,0.073130,0.048538,0.042429,0.028795,0.078966,0.089151,0.188908,0.031134
DenseGRU_50_15secs,0.088618,0.043935,0.070885,0.046910,0.040736,0.036925,0.088469,0.075798,0.175316,0.031665
StackedLSTM_2_15secs,0.098083,0.054652,0.073456,0.049164,0.041322,0.035028,0.081381,0.117323,0.187271,0.031693
StackedGRU_2_15secs,0.103970,0.047763,0.074781,0.048496,0.043184,0.032008,0.083522,0.110696,0.200821,0.031622
StackedLSTM_3_15secs,0.105665,0.045917,0.072585,0.050365,0.043132,0.037117,0.091639,0.140867,0.208955,0.033883
StackedGRU_3_15secs,0.092248,0.043962,0.080217,0.052902,0.043919,0.038704,0.066638,0.162943,0.203929,0.038769
StackedLSTM_4_15secs,0.093271,0.048079,0.070008,0.060394,0.042304,0.035874,0.097176,0.173346,0.202920,0.034218
StackedGRU_4_15secs,0.085941,0.045567,0.069831,0.053479,0.042758,0.037624,0.099502,0.173934,0.210161,0.035010
StackedLSTM_5_15secs,0.288565,0.049376,0.071575,0.050649,0.041304,0.040163,0.103060,0.180461,0.212455,0.094282
StackedGRU_5_15secs,0.080485,0.049894,0.071452,0.059651,0.040927,0.036221,0.100633,0.183092,0.217369,0.038008
ConvLSTM10_1_15secs,0.075324,0.046578,0.079067,0.043442,0.042036,0.025707,0.058764,0.037873,0.134718,0.031905
ConvGRU_1_15secs,0.078448,0.051927,0.075238,0.045312,0.041826,0.031711,0.065484,0.064103,0.154882,0.031348
ConvLSTM10_2_15secs,0.081233,0.043127,0.080765,0.044361,0.041873,0.029477,0.083859,0.092265,0.132616,0.031085
ConvGRU_2_15secs,0.080336,0.047280,0.078399,0.043346,0.043328,0.031784,0.079966,0.096251,0.126796,0.032154
ConvLSTM10_3_15secs,0.077574,0.045640,0.078233,0.043007,0.043453,0.034468,0.101310,0.118271,0.165134,0.031967
ConvGRU_3_15secs,0.078915,0.043591,0.077093,0.044559,0.043532,0.038207,0.101161,0.133298,0.155024,0.032353
ConvLSTM10_4_15secs,0.075253,0.048355,0.082590,0.044055,0.040642,0.038362,0.094684,0.165570,0.123235,0.033165
ConvGRU_4_15secs,0.085860,0.039239,0.080762,0.048892,0.043166,0.037219,0.091520,0.143999,0.139946,0.033348
ConvLSTM10_5_15secs,0.076683,0.044779,0.082854,0.043884,0.040904,0.038338,0.099189,0.208297,0.123692,0.035225
ConvGRU_5_15secs,0.073050,0.045898,0.083136,0.045073,0.043938,0.035805,0.100413,0.190703,0.154832,0.036579
BiLSTM_8_10_15secs,0.091451,0.045965,0.085698,0.048981,0.040799,0.042713,0.061669,0.121854,0.323420,0.033759
AttentionBiLSTM_8_10_15secs,0.081455,0.048133,0.072031,0.050696,0.040830,0.041180,0.064951,0.104008,0.258929,0.032523
BiGRU_8_10_15secs,0.086424,0.038511,0.079018,0.052220,0.040751,0.040166,0.063783,0.133469,0.307156,0.031612
BiLSTM_8_20_15secs,0.093979,0.045672,0.075809,0.049423,0.040978,0.040859,0.068951,0.147534,0.356462,0.031932
AttentionBiLSTM_8_20_15secs,0.080075,0.045724,0.069598,0.052491,0.041422,0.045782,0.064451,0.128493,0.284527,0.031538
