model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiLSTM32_Dropout10_15secs,0.037287,0.059968,0.082428,0.096490,0.055665,0.243422,0.119728,0.443787,0.067362,0.051942
AttentionBiLSTM32_Dropout10_15secs,0.025105,0.060540,0.081864,0.077424,0.054386,0.388814,0.118654,0.543487,0.215631,0.045404
BiLSTM32_Dropout20_15secs,0.039901,0.067921,0.083466,0.098015,0.054287,0.283537,0.127685,0.474359,0.069395,0.055257
AttentionBiLSTM32_Dropout20_15secs,0.033783,0.057979,0.081908,0.084159,0.054440,0.404416,0.119092,0.559529,0.244590,0.043575
BiLSTM32_Dropout30_15secs,0.029710,0.075594,0.083849,0.102330,0.054695,0.277248,0.131909,0.743369,0.064005,0.057006
AttentionBiLSTM32_Dropout30_15secs,0.028514,0.056627,0.082168,0.086339,0.054293,0.404991,0.118386,0.575627,0.235771,0.044523
BiLSTM32_Dropout40_15secs,0.066871,0.064025,0.086024,0.101207,0.054694,0.281376,0.131785,0.809023,0.060102,0.053286
AttentionBiLSTM32_Dropout40_15secs,0.034264,0.056333,0.082367,0.086018,0.054389,0.401187,0.107267,0.594459,0.239777,0.042930
BiLSTM32_Dropout50_15secs,0.062294,0.069992,0.084682,0.098208,0.054180,0.287432,0.121171,0.857113,0.123940,0.052898
AttentionBiLSTM32_Dropout50_15secs,0.025339,0.055586,0.081312,0.087111,0.054629,0.400971,0.119235,0.614799,0.247937,0.042975
BiLSTM64_Dropout10_15secs,0.041459,0.068424,0.083145,0.100529,0.054064,0.249677,0.094054,0.237538,0.052805,0.048432
AttentionBiLSTM64_Dropout10_15secs,0.031552,0.064744,0.081515,0.084897,0.054543,0.448953,0.125144,0.531708,0.233663,0.046715
BiLSTM64_Dropout20_15secs,0.032046,0.058746,0.083390,0.107394,0.054673,0.269996,0.105292,0.731998,0.050981,0.051920
AttentionBiLSTM64_Dropout20_15secs,0.026782,0.060497,0.081988,0.087827,0.054466,0.458006,0.117765,0.540917,0.237578,0.046257
BiLSTM64_Dropout30_15secs,0.031294,0.063278,0.083508,0.117168,0.055583,0.265557,0.119893,0.753777,0.056418,0.058713
AttentionBiLSTM64_Dropout30_15secs,0.031563,0.062591,0.082284,0.082810,0.054371,0.469179,0.117880,0.548375,0.231565,0.047502
BiLSTM64_Dropout40_15secs,0.043981,0.066263,0.083607,0.113093,0.054798,0.282846,0.128650,0.860560,0.075030,0.063882
AttentionBiLSTM64_Dropout40_15secs,0.028886,0.059156,0.082144,0.103675,0.054320,0.473509,0.118388,0.551956,0.233687,0.046187
BiLSTM64_Dropout50_15secs,0.054190,0.069602,0.086432,0.116636,0.054200,0.283721,0.130031,0.766147,0.112821,0.054296
AttentionBiLSTM64_Dropout50_15secs,0.034634,0.056306,0.081942,0.098596,0.054463,0.477650,0.109341,0.565968,0.237272,0.047046
BiLSTM128_Dropout10_15secs,0.027458,0.072961,0.082686,0.108447,0.054378,0.223589,0.090037,0.122845,0.052694,0.049701
AttentionBiLSTM128_Dropout10_15secs,0.036369,0.063991,0.081711,0.089012,0.054346,0.488443,0.116408,0.516144,0.209030,0.050022
BiLSTM128_Dropout20_15secs,0.042347,0.061493,0.083428,0.124190,0.054455,0.245324,0.099601,0.110056,0.039885,0.051164
AttentionBiLSTM128_Dropout20_15secs,0.036400,0.065510,0.081780,0.092020,0.054411,0.476085,0.122400,0.524004,0.222107,0.049897
BiLSTM128_Dropout30_15secs,0.054863,0.056400,0.083840,0.129209,0.054647,0.246784,0.107324,0.298287,0.119889,0.052411
AttentionBiLSTM128_Dropout30_15secs,0.030339,0.057237,0.082476,0.095870,0.054472,0.482841,0.121688,0.526329,0.231308,0.049784
BiLSTM128_Dropout40_15secs,0.048319,0.061204,0.083994,0.133549,0.054537,0.269431,0.126871,0.632991,0.022174,0.052119
AttentionBiLSTM128_Dropout40_15secs,0.023398,0.060801,0.082809,0.106770,0.054489,0.491019,0.121119,0.535593,0.230038,0.048245
BiLSTM128_Dropout50_15secs,0.040185,0.055424,0.084095,0.137218,0.054531,0.275302,0.125077,0.645451,0.064225,0.053996
AttentionBiLSTM128_Dropout50_15secs,0.024129,0.058760,0.081943,0.104173,0.054293,0.503343,0.108575,0.543870,0.228061,0.052517
BiLSTM256_Dropout10_15secs,0.030670,0.061179,0.084235,0.112269,0.054166,0.246805,0.088441,0.211409,0.043122,0.047972
AttentionBiLSTM256_Dropout10_15secs,0.031432,0.064542,0.081796,0.087891,0.054646,0.519971,0.110347,0.503304,0.221583,0.050322
BiLSTM256_Dropout20_15secs,0.030511,0.073476,0.083840,0.129719,0.054002,0.242325,0.093671,0.245266,0.036507,0.051483
AttentionBiLSTM256_Dropout20_15secs,0.043592,0.066168,0.082053,0.087259,0.054476,0.504610,0.108687,0.508230,0.187577,0.046646
BiLSTM256_Dropout30_15secs,0.044753,0.054537,0.085136,0.131906,0.054605,0.265622,0.102878,0.494372,0.038597,0.049204
AttentionBiLSTM256_Dropout30_15secs,0.024955,0.066474,0.081852,0.090701,0.054330,0.492317,0.105240,0.549740,0.192985,0.047158
BiLSTM256_Dropout40_15secs,0.062465,0.064599,0.083855,0.141266,0.054101,0.263046,0.113401,0.571386,0.017999,0.054121
AttentionBiLSTM256_Dropout40_15secs,0.027292,0.064903,0.082283,0.091098,0.054945,0.489254,0.101607,0.552325,0.217957,0.048027
BiLSTM256_Dropout50_15secs,0.046964,0.067266,0.086029,0.151773,0.054641,0.276051,0.126848,0.685948,0.030704,0.052480
AttentionBiLSTM256_Dropout50_15secs,0.024080,0.063022,0.082361,0.095553,0.054421,0.495261,0.103410,0.563579,0.213715,0.046665
