model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
GRU10_3Stacks_15secs,0.136,0.062,0.084,0.096,0.055,0.283,0.140,0.839,0.060,0.045
LSTM10_4Stacks_15secs,0.057,0.058,0.084,0.105,0.055,0.299,0.141,0.863,0.165,0.045
GRU10_4Stacks_15secs,0.034,0.073,0.084,0.067,0.055,0.294,0.139,0.864,0.060,0.171
LSTM10_5Stacks_15secs,0.071,0.074,0.146,0.093,0.055,0.301,0.140,0.864,0.221,0.273
GRU10_5Stacks_15secs,0.077,0.068,0.084,0.086,0.055,0.301,0.140,0.864,0.061,0.110
LSTM10_1ConvStacks_15secs,0.027,0.057,0.085,0.084,0.055,0.237,0.089,0.343,0.020,0.046
GRU10_1ConvStacks_15secs,0.017,0.060,0.086,0.081,0.054,0.174,0.087,0.353,0.022,0.047
LSTM10_2ConvStacks_15secs,0.031,0.056,0.085,0.080,0.055,0.249,0.128,0.693,0.012,0.046
GRU10_2ConvStacks_15secs,0.024,0.056,0.087,0.125,0.054,0.198,0.114,0.408,0.013,0.047
LSTM10_3ConvStacks_15secs,0.024,0.058,0.088,0.101,0.055,0.294,0.133,0.550,0.033,0.049
GRU10_3ConvStacks_15secs,0.025,0.057,0.086,0.122,0.055,0.225,0.103,0.583,0.016,0.050
LSTM10_4ConvStacks_15secs,0.028,0.056,0.086,0.135,0.055,0.314,0.129,0.424,0.032,0.056
GRU10_4ConvStacks_15secs,0.025,0.059,0.084,0.141,0.055,0.313,0.132,0.864,0.026,0.047
LSTM10_5ConvStacks_15secs,0.029,0.056,0.084,0.124,0.055,0.314,0.139,0.865,0.012,0.043
GRU10_5ConvStacks_15secs,0.052,0.061,0.085,0.136,0.055,0.312,0.130,0.865,0.034,0.047
BiLSTM8_Dropout10_15secs,0.046,0.068,0.083,0.083,0.054,0.280,0.122,0.729,0.082,0.050
