model,P_SUM,U_L1_N,I_SUM,F,RealE_SUM,C_phi_L3
GRU10_15secs_Stacked2,0.092,0.025,0.085,0.052,0.203,0.096
LSTM10_15secs_Stack2,0.093,0.025,0.083,0.051,0.216,0.097
GRU10_15secs_Stacked3,0.095,0.025,0.080,0.052,0.227,0.095
LSTM10_15secs_Stack3,0.090,0.025,0.078,0.051,0.229,0.097
GRU10_15secs_Stacked4,0.087,0.031,0.078,0.052,0.236,0.095
LSTM10_15secs_Stack4,0.104,0.032,0.075,0.052,0.231,0.095
GRU10_15secs_Stacked5,0.119,0.033,0.075,0.052,0.242,0.095
LSTM10_15secs_Stack5,0.116,0.031,0.072,0.052,0.245,0.096
GRU10_15secs_StackConv1,0.091,0.026,0.073,0.051,0.185,0.061
LSTM10_15secs_StackConv1,0.087,0.025,0.075,0.051,0.151,0.083
GRU10_15secs_StackConv2,0.088,0.025,0.075,0.051,0.107,0.095
LSTM10_15secs_StackConv2,0.086,0.025,0.079,0.051,0.133,0.081
GRU10_15secs_StackConv3,0.088,0.025,0.078,0.051,0.193,0.095
LSTM10_15secs_StackConv3,0.096,0.025,0.082,0.051,0.210,0.096
GRU10_15secs_StackConv4,0.089,0.025,0.083,0.051,0.212,0.095
LSTM10_15secs_StackConv4,0.089,0.025,0.083,0.052,0.152,0.095
GRU10_15secs_StackConv5,0.094,0.026,0.083,0.051,0.157,0.096
LSTM10_15secs_StackConv5,0.095,0.025,0.083,0.052,0.227,0.097
